"DFC","CONTA","SUBCONTA"
"Despesa","Despesas com Pessoal/ RH","Ferias"
"Despesa","Despesas com Pessoal/ RH","Ferias"
"Despesa","Despesas com Pessoal/ RH","Ferias"
"Despesa","Despesas com Pessoal/ RH","Salario"
"Despesa","Despesas com Pessoal/ RH","Salario"
"Despesa","Despesas com Pessoal/ RH","Salario"
"Despesa","Despesas com Pessoal/ RH","Salario"
"Despesa","Despesas com Pessoal/ RH","Salario"
"Despesa","Despesas com Pessoal/ RH","Salario"
"Despesa","Despesas com Pessoal/ RH","Salario"
"Despesa","Despesas com Pessoal/ RH","Salario"
"Despesa","Despesas com Pessoal/ RH","Salario"
"Despesa","Despesas com Pessoal/ RH","Salario"
"Despesa","Despesas com Pessoal/ RH","Salario"
"Despesa","Despesas com Pessoal/ RH","Salario"
"Despesa","Despesas com Pessoal/ RH","Açao Trabalhista"
"Despesa","Despesas com Pessoal/ RH","Açao Trabalhista"
"Despesa","Despesas com Pessoal/ RH","Açao Trabalhista"
"Despesa","Despesas com Pessoal/ RH","Açao Trabalhista"
"Despesa","Despesas com Pessoal/ RH","Açao Trabalhista"
"Despesa","Despesas com Pessoal/ RH","Açao Trabalhista"
"Despesa","Despesas com Pessoal/ RH","Açao Trabalhista"
"Despesa","Despesas com Pessoal/ RH","Açao Trabalhista"
"Despesa","Despesas com Pessoal/ RH","Açao Trabalhista"
"Despesa","Despesas com Pessoal/ RH","Açao Trabalhista"
"Despesa","Despesas com Pessoal/ RH","Açao Trabalhista"
"Despesa","Despesas com Pessoal/ RH","Açao Trabalhista"
"Imposto","Impostos Federais","CSLL"
"Imposto","Impostos Federais","CSLL"
"Imposto","Impostos Federais","CSLL"
"Imposto","Impostos Federais","CSLL"
"Imposto","Impostos Federais","CSLL"
"Imposto","Impostos Federais","CSLL"
"Imposto","Impostos Federais","CSLL"
"Imposto","Impostos Federais","CSLL"
"Imposto","Impostos Federais","CSLL"
"Imposto","Impostos Federais","CSLL"
"Imposto","Impostos Federais","CSLL"
"Imposto","Impostos Federais","CSLL"
"Despesa","Despesas Comerciais","Premiaçao Campanha Comercial"
"Despesa","Despesas Comerciais","Premiaçao Campanha Comercial"
"Despesa","Despesas Comerciais","Premiaçao Campanha Comercial"
"Despesa","Despesas Comerciais","Premiaçao Campanha Comercial"
"Despesa","Despesas Comerciais","Premiaçao Campanha Comercial"
"Despesa","Despesas Comerciais","Premiaçao Campanha Comercial"
"Despesa","Despesas Comerciais","Premiaçao Campanha Comercial"
"Despesa","Despesas Comerciais","Premiaçao Campanha Comercial"
"Despesa","Despesas Comerciais","Premiaçao Campanha Comercial"
"Despesa","Despesas Comerciais","Premiaçao Campanha Comercial"
"Despesa","Despesas Comerciais","Premiaçao Campanha Comercial"
"Despesa","Despesas Comerciais","Premiaçao Campanha Comercial"
"Despesa","Despesas Informatica","Equipamento Informatica"
"Despesa","Despesas Informatica","Equipamento Informatica"
"Despesa","Despesas Informatica","Equipamento Informatica"
"Despesa","Despesas Informatica","Equipamento Informatica"
"Despesa","Despesas Informatica","Equipamento Informatica"
"Despesa","Despesas Informatica","Equipamento Informatica"
"Despesa","Despesas Informatica","Equipamento Informatica"
